epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17500.5,1.37343,1.13864,0.97447,0.58821,0.51423,0.52371,0.32089,1.3094,1.06781,0.9783,0.000741194,0.000741194,0.000741194
43,17910.3,1.37105,1.13412,0.97306,0.58732,0.52593,0.53381,0.3276,1.30651,1.05908,0.97887,0.000729725,0.000729725,0.000729725
44,18319.1,1.37209,1.13546,0.97432,0.63916,0.51503,0.53656,0.32892,1.308,1.05586,0.97846,0.000718103,0.000718103,0.000718103
45,18730.2,1.37138,1.13168,0.97147,0.65596,0.51405,0.54161,0.33071,1.30545,1.05902,0.97713,0.000706335,0.000706335,0.000706335
46,19138.3,1.36875,1.12355,0.97242,0.65416,0.50724,0.54132,0.33082,1.30366,1.05473,0.9768,0.000694428,0.000694428,0.000694428
47,19548.5,1.36637,1.12459,0.96918,0.64447,0.51913,0.54074,0.33129,1.30449,1.05388,0.97694,0.000682392,0.000682392,0.000682392
48,19958.1,1.36234,1.11313,0.97016,0.65507,0.51106,0.54351,0.3333,1.30337,1.0464,0.97631,0.000670234,0.000670234,0.000670234
49,20367.4,1.36203,1.11675,0.96887,0.63852,0.51784,0.54278,0.33373,1.3015,1.0453,0.97562,0.000657963,0.000657963,0.000657963
50,20777.8,1.35711,1.11084,0.96748,0.64164,0.51729,0.54216,0.33223,1.30187,1.04169,0.97542,0.000645588,0.000645588,0.000645588
51,21187.8,1.35678,1.10429,0.96797,0.6407,0.52041,0.54334,0.33311,1.3003,1.03493,0.97477,0.000633115,0.000633115,0.000633115
52,21596.6,1.35602,1.09047,0.96837,0.65307,0.51449,0.54693,0.33531,1.29983,1.02907,0.97496,0.000620555,0.000620555,0.000620555
53,22007.4,1.35691,1.08521,0.96758,0.6617,0.51186,0.54681,0.33586,1.29795,1.02594,0.9739,0.000607916,0.000607916,0.000607916
54,22418.9,1.35552,1.09567,0.96836,0.64554,0.52549,0.5448,0.33384,1.29617,1.02347,0.97379,0.000595207,0.000595207,0.000595207
55,22829.1,1.35213,1.07891,0.96799,0.65702,0.52256,0.54973,0.33587,1.29495,1.02296,0.97354,0.000582435,0.000582435,0.000582435
56,23238.6,1.35377,1.07711,0.96756,0.65872,0.52508,0.55167,0.33725,1.29388,1.01909,0.97358,0.00056961,0.00056961,0.00056961
57,23649.4,1.34747,1.07371,0.9653,0.6624,0.52027,0.55085,0.33722,1.29346,1.01744,0.97302,0.000556742,0.000556742,0.000556742
58,24059.3,1.35292,1.07321,0.96572,0.66448,0.51773,0.5504,0.33676,1.29377,1.01848,0.97269,0.000543837,0.000543837,0.000543837
59,24470.9,1.34935,1.06447,0.96334,0.67073,0.51873,0.55218,0.33813,1.29354,1.01429,0.97231,0.000530906,0.000530906,0.000530906
60,24880.9,1.34293,1.06435,0.96464,0.6691,0.52017,0.55211,0.33876,1.29266,1.01286,0.97203,0.000517958,0.000517958,0.000517958
61,25291.3,1.34194,1.0646,0.96193,0.67229,0.51867,0.55417,0.34016,1.29194,1.00964,0.97112,0.000505,0.000505,0.000505
62,25701.1,1.34065,1.0568,0.96331,0.6266,0.52007,0.55531,0.34063,1.29177,1.00789,0.97084,0.000492042,0.000492042,0.000492042
63,26113.8,1.3332,1.04362,0.96205,0.62735,0.51889,0.55854,0.344,1.29053,1.0066,0.97036,0.000479094,0.000479094,0.000479094
64,26523.9,1.34483,1.05568,0.96115,0.67254,0.51597,0.55839,0.34389,1.28968,1.00532,0.97006,0.000466163,0.000466163,0.000466163
65,26934.2,1.33389,1.03794,0.96031,0.66762,0.52361,0.56007,0.34534,1.28941,1.00409,0.97,0.000453258,0.000453258,0.000453258
66,27343.2,1.34078,1.05019,0.96134,0.66882,0.52077,0.55898,0.3462,1.28864,1.0018,0.96975,0.00044039,0.00044039,0.00044039
67,27753.6,1.33451,1.03553,0.96003,0.66576,0.52354,0.55909,0.34655,1.28804,1.00062,0.96932,0.000427565,0.000427565,0.000427565
68,28163.2,1.32945,1.03532,0.96018,0.6636,0.52823,0.55927,0.34725,1.28719,0.99868,0.96885,0.000414793,0.000414793,0.000414793
69,28572.8,1.32999,1.02367,0.95789,0.66452,0.538,0.56083,0.34717,1.28652,0.99722,0.96864,0.000402084,0.000402084,0.000402084
70,28982.6,1.33691,1.03392,0.96106,0.66087,0.53395,0.55894,0.34721,1.28584,0.99642,0.96846,0.000389445,0.000389445,0.000389445
71,29392.7,1.32801,1.01922,0.9601,0.66455,0.53287,0.55954,0.34823,1.28558,0.99571,0.96839,0.000376885,0.000376885,0.000376885
72,29804,1.32663,1.02155,0.95725,0.6669,0.53126,0.56089,0.34833,1.28524,0.99467,0.96821,0.000364412,0.000364412,0.000364412
73,30214.9,1.3198,1.01649,0.95483,0.66622,0.53095,0.56066,0.34825,1.28504,0.99375,0.96801,0.000352037,0.000352037,0.000352037
74,30626,1.32448,1.01605,0.95714,0.66818,0.52932,0.56119,0.34869,1.28488,0.99364,0.96794,0.000339766,0.000339766,0.000339766
75,31035.6,1.32071,1.0145,0.95724,0.67201,0.52482,0.56094,0.34877,1.2846,0.99307,0.96769,0.000327608,0.000327608,0.000327608
76,31446.7,1.32031,1.00565,0.95623,0.671,0.52641,0.56176,0.34968,1.28438,0.99246,0.96745,0.000315572,0.000315572,0.000315572
77,31859.2,1.31808,0.9891,0.95596,0.6676,0.53131,0.56087,0.34841,1.28397,0.99139,0.96733,0.000303665,0.000303665,0.000303665
78,32269,1.31712,0.99928,0.95366,0.66986,0.53035,0.5613,0.34893,1.28359,0.99105,0.96701,0.000291897,0.000291897,0.000291897
79,32680.2,1.31992,0.99379,0.9571,0.66914,0.52976,0.56205,0.34962,1.28319,0.99029,0.96698,0.000280275,0.000280275,0.000280275
80,33091,1.32061,0.99029,0.95568,0.67031,0.52941,0.56234,0.34976,1.28294,0.98966,0.9668,0.000268806,0.000268806,0.000268806
81,33503.5,1.3173,0.98705,0.95391,0.67075,0.53052,0.56212,0.34988,1.28283,0.98881,0.96666,0.0002575,0.0002575,0.0002575
82,33916.2,1.31311,0.9796,0.95549,0.66698,0.53379,0.56265,0.34979,1.28262,0.98828,0.96659,0.000246363,0.000246363,0.000246363
