epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5626.3,1.26482,0.76704,0.93095,0.67329,0.58051,0.59889,0.37729,1.2817,0.88653,0.96661,0.0006105,0.0006105,0.0006105
43,5756.4,1.2651,0.76524,0.93057,0.68828,0.55825,0.59749,0.37554,1.28524,0.89668,0.96896,0.000601,0.000601,0.000601
44,5885.79,1.25994,0.76671,0.93112,0.67316,0.56598,0.60324,0.37837,1.28168,0.88614,0.96794,0.0005915,0.0005915,0.0005915
45,6015.81,1.25739,0.75343,0.93019,0.66424,0.57377,0.5956,0.37212,1.28256,0.88451,0.96784,0.000582,0.000582,0.000582
46,6146.54,1.2585,0.76085,0.92995,0.67915,0.55966,0.59631,0.37312,1.2809,0.88497,0.96859,0.0005725,0.0005725,0.0005725
47,6294.86,1.26095,0.75452,0.93241,0.68151,0.57301,0.60843,0.38023,1.28159,0.8873,0.96943,0.000563,0.000563,0.000563
48,6425.22,1.26493,0.75207,0.93026,0.69991,0.55497,0.60012,0.37528,1.28165,0.88898,0.9669,0.0005535,0.0005535,0.0005535
49,6556.15,1.2569,0.75604,0.93035,0.67394,0.5635,0.60231,0.37702,1.28281,0.88891,0.9671,0.000544,0.000544,0.000544
50,6771.44,1.25755,0.75506,0.92932,0.67581,0.56752,0.60059,0.37534,1.28309,0.88782,0.96742,0.0005345,0.0005345,0.0005345
51,6902.85,1.25895,0.75191,0.92972,0.65539,0.6053,0.59945,0.37466,1.28259,0.88853,0.96777,0.000525,0.000525,0.000525
52,7034.75,1.25702,0.75121,0.92972,0.67435,0.58086,0.59536,0.37283,1.28378,0.89134,0.96779,0.0005155,0.0005155,0.0005155
53,7166.4,1.25396,0.75215,0.93015,0.67084,0.56807,0.59941,0.37438,1.27972,0.88791,0.96679,0.000506,0.000506,0.000506
54,7302.03,1.25926,0.75163,0.92955,0.66228,0.58556,0.60089,0.37592,1.27966,0.88446,0.96793,0.0004965,0.0004965,0.0004965
55,7434.5,1.25424,0.7506,0.92813,0.68107,0.57361,0.60044,0.37464,1.28157,0.887,0.96807,0.000487,0.000487,0.000487
56,7566.85,1.25132,0.74794,0.92817,0.6803,0.57061,0.60121,0.37571,1.28266,0.88616,0.96908,0.0004775,0.0004775,0.0004775
57,7702.33,1.25175,0.74024,0.92846,0.67935,0.56975,0.59684,0.37379,1.28168,0.88636,0.96905,0.000468,0.000468,0.000468
58,7836.63,1.25339,0.74624,0.93023,0.67709,0.57865,0.59943,0.3735,1.28114,0.88395,0.96873,0.0004585,0.0004585,0.0004585
