epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.633,1.3356,0.89854,0.95046,0.4825,0.4488,0.42088,0.24723,1.37101,1.39323,0.99294,0.067395,0.000665409,0.000665409
2,256.018,1.33947,0.90829,0.9518,0.49398,0.37236,0.3353,0.18226,1.46283,1.67499,1.03769,0.034707,0.00131076,0.00131076
3,387.293,1.36178,0.949,0.95567,0.65681,0.50804,0.52723,0.31938,1.32495,1.11043,0.98446,0.00199768,0.00193478,0.00193478
4,513.323,1.36337,0.94604,0.95684,0.54527,0.51419,0.51073,0.30623,1.34526,1.10816,0.99241,0.001904,0.001904,0.001904
5,639.525,1.36103,0.93418,0.95531,0.56807,0.47582,0.48478,0.29196,1.34838,1.19356,0.98341,0.001872,0.001872,0.001872
6,779.746,1.354,0.93152,0.9531,0.61909,0.50108,0.50441,0.30887,1.32848,1.09193,0.98528,0.00184,0.00184,0.00184
7,902.473,1.35363,0.92357,0.95318,0.59285,0.53142,0.53806,0.32439,1.37957,1.05143,0.99745,0.001808,0.001808,0.001808
8,123.221,1.35806,0.93793,0.96554,0.55034,0.50226,0.49145,0.30299,1.33038,1.14526,0.98488,0.001776,0.001776,0.001776
9,245.149,1.34325,0.91499,0.95504,0.56265,0.49087,0.49862,0.3026,1.3363,1.16415,0.98993,0.001744,0.001744,0.001744
10,369.031,1.33841,0.9108,0.95083,0.59002,0.52974,0.53873,0.32583,1.34237,1.03516,0.99389,0.001712,0.001712,0.001712
11,490.781,1.34089,0.90792,0.95256,0.57141,0.52452,0.51238,0.31276,1.33789,1.07643,0.98892,0.00168,0.00168,0.00168
12,612.467,1.33876,0.89377,0.94978,0.62087,0.52749,0.53224,0.31983,1.34489,1.04809,0.98667,0.001648,0.001648,0.001648
13,742.253,1.329,0.88857,0.94735,0.64307,0.53707,0.54604,0.3357,1.31368,0.99299,0.98045,0.001616,0.001616,0.001616
14,864.189,1.33165,0.88484,0.94764,0.60379,0.52984,0.5427,0.32906,1.35823,1.02576,0.99592,0.001584,0.001584,0.001584
15,996.601,1.34524,0.89416,0.95295,0.61467,0.54883,0.55736,0.33922,1.32104,0.98997,0.98258,0.001552,0.001552,0.001552
16,1118.38,1.34183,0.89654,0.95164,0.64428,0.53346,0.55369,0.34442,1.30345,0.99326,0.97865,0.00152,0.00152,0.00152
17,1244.87,1.33398,0.88417,0.9493,0.66167,0.53585,0.5655,0.3473,1.30007,0.98171,0.97596,0.001488,0.001488,0.001488
18,1366.62,1.33709,0.88707,0.94955,0.68546,0.55373,0.56152,0.34439,1.30734,0.98116,0.97708,0.001456,0.001456,0.001456
19,1488.01,1.32956,0.8805,0.94983,0.6613,0.52606,0.55284,0.33447,1.33853,0.98788,0.98891,0.001424,0.001424,0.001424
20,1609.82,1.32573,0.87101,0.9478,0.68054,0.55838,0.57483,0.35463,1.30251,0.96752,0.97628,0.001392,0.001392,0.001392
21,1731.51,1.32874,0.87488,0.95028,0.64013,0.53673,0.57598,0.35488,1.30158,0.95791,0.97512,0.00136,0.00136,0.00136
22,1853.33,1.32646,0.8686,0.94566,0.65856,0.53615,0.57644,0.35666,1.30037,0.97929,0.97247,0.001328,0.001328,0.001328
23,1975.49,1.32467,0.86317,0.94766,0.71735,0.54555,0.57709,0.3537,1.30248,0.95136,0.97534,0.001296,0.001296,0.001296
24,2097.47,1.32193,0.85779,0.94812,0.67072,0.53096,0.56768,0.35203,1.29433,0.94773,0.97154,0.001264,0.001264,0.001264
25,2219.39,1.31805,0.85253,0.94456,0.67691,0.53995,0.57627,0.35962,1.29509,0.94858,0.97519,0.001232,0.001232,0.001232
26,2342.22,1.31699,0.85418,0.94392,0.71422,0.55309,0.58316,0.3633,1.30494,0.92589,0.97459,0.0012,0.0012,0.0012
27,2464.56,1.31351,0.85009,0.94556,0.67253,0.54,0.58293,0.36282,1.29597,0.923,0.97704,0.001168,0.001168,0.001168
28,2586.37,1.31227,0.85115,0.94476,0.64804,0.55143,0.5823,0.36503,1.28388,0.91585,0.96969,0.001136,0.001136,0.001136
29,2723.67,1.31216,0.84104,0.94325,0.65411,0.56455,0.58691,0.37068,1.28565,0.92191,0.96703,0.001104,0.001104,0.001104
30,2847.98,1.30748,0.84044,0.9422,0.64595,0.54852,0.57901,0.36204,1.29069,0.9387,0.97127,0.001072,0.001072,0.001072
31,2970.26,1.31135,0.8296,0.94305,0.63329,0.57301,0.58487,0.36424,1.28628,0.91193,0.96929,0.00104,0.00104,0.00104
32,3092.08,1.30887,0.83234,0.94224,0.65711,0.57835,0.59844,0.37482,1.28158,0.9032,0.96727,0.001008,0.001008,0.001008
33,3214.68,1.30941,0.82743,0.94198,0.63001,0.58378,0.58911,0.36873,1.28883,0.90975,0.97046,0.000976,0.000976,0.000976
34,3336.45,1.30514,0.8241,0.94078,0.63232,0.58634,0.59832,0.37328,1.28215,0.90302,0.96918,0.000944,0.000944,0.000944
35,3457.99,1.30107,0.82317,0.94158,0.62992,0.58692,0.59472,0.37296,1.28304,0.89914,0.97265,0.000912,0.000912,0.000912
36,3579.65,1.29451,0.82171,0.93858,0.65712,0.58732,0.59875,0.37689,1.28127,0.89199,0.96756,0.00088,0.00088,0.00088
37,3701.25,1.29697,0.82001,0.9392,0.67677,0.53649,0.58398,0.36862,1.28299,0.90756,0.96902,0.000848,0.000848,0.000848
38,3826.54,1.29407,0.81358,0.93978,0.63816,0.58405,0.5943,0.37228,1.28323,0.9083,0.9673,0.000816,0.000816,0.000816
39,4126.17,1.30097,0.81308,0.93941,0.62894,0.58561,0.58884,0.36893,1.27942,0.89559,0.96648,0.000784,0.000784,0.000784
40,4261.1,1.28837,0.81059,0.93958,0.62422,0.5832,0.58654,0.36865,1.28078,0.90353,0.96926,0.000752,0.000752,0.000752
41,4385.1,1.27437,0.78641,0.95713,0.69551,0.57137,0.59652,0.37399,1.28195,0.90484,0.97163,0.00072,0.00072,0.00072
42,4503.99,1.27002,0.77358,0.95453,0.71033,0.56693,0.59636,0.37486,1.27799,0.89557,0.96916,0.000688,0.000688,0.000688
43,4623.03,1.26534,0.76538,0.95435,0.69753,0.58852,0.60254,0.37797,1.27883,0.88782,0.96929,0.000656,0.000656,0.000656
44,4744.9,1.26204,0.75843,0.95295,0.70869,0.568,0.60104,0.37797,1.27726,0.88965,0.9682,0.000624,0.000624,0.000624
45,4864.37,1.26036,0.75601,0.9513,0.68091,0.55718,0.60418,0.37973,1.27814,0.88553,0.96795,0.000592,0.000592,0.000592
46,4983.26,1.25662,0.75199,0.95211,0.70195,0.56356,0.60115,0.37817,1.27923,0.89005,0.96892,0.00056,0.00056,0.00056
47,5102.41,1.2561,0.748,0.95146,0.70386,0.56743,0.6019,0.37981,1.27761,0.88732,0.96596,0.000528,0.000528,0.000528
