epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.168,1.38821,1.02797,0.96401,0.47923,0.40436,0.33535,0.19663,1.4227,1.8082,1.01403,0.0667312,1.66352e-06,1.66352e-06
2,291.196,1.35711,0.96156,0.95554,0.50478,0.50118,0.48928,0.29857,1.33675,1.09717,0.97661,0.0333996,3.3269e-06,3.3269e-06
3,441.377,1.34113,0.92645,0.94861,0.54817,0.51521,0.52781,0.32809,1.31897,0.9987,0.97592,6.78702e-05,4.97715e-06,4.97715e-06
4,586.945,1.34122,0.91536,0.94938,0.54799,0.51498,0.52834,0.32833,1.31769,0.9962,0.9754,4.95572e-06,4.95572e-06,4.95572e-06
5,733.063,1.33792,0.90092,0.94766,0.55234,0.5099,0.52791,0.32798,1.31784,0.99663,0.97503,4.92146e-06,4.92146e-06,4.92146e-06
6,908.195,1.3359,0.90716,0.94681,0.54878,0.51594,0.52842,0.32772,1.31816,0.99693,0.97508,4.87764e-06,4.87764e-06,4.87764e-06
