epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.195,1.55826,1.38561,1.01527,0.53264,0.42533,0.40891,0.25198,1.35011,1.28843,0.98333,0.000118775,0.000118775,0.000118775
2,280.486,1.34105,0.98678,0.95251,0.53567,0.46252,0.44711,0.27646,1.3244,1.21214,0.98193,0.000222082,0.000222082,0.000222082
3,426.736,1.32498,0.93752,0.94538,0.57257,0.48907,0.48193,0.29587,1.32,1.10333,0.9782,0.000309681,0.000309681,0.000309681
