epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.48,1.92966,3.5129,1.07195,0.52437,0.14621,0.10131,0.04833,1.76056,2.83295,1.05428,0.00011885,0.00011885,0.00011885
2,246.623,1.77186,2.16525,1.05017,0.52596,0.19624,0.16683,0.08362,1.64709,2.26027,1.03451,0.000226077,0.000226077,0.000226077
3,350.075,1.72897,1.87324,1.04386,0.4046,0.25321,0.19792,0.10348,1.59201,1.98505,1.0274,0.000321522,0.000321522,0.000321522
4,466.208,1.69935,1.73069,1.03891,0.48056,0.26918,0.23513,0.12172,1.61029,1.81171,1.03209,0.000303986,0.000303986,0.000303986
5,580.616,1.68868,1.64332,1.03186,0.49322,0.28854,0.25906,0.13087,1.64688,1.75062,1.03688,0.000286314,0.000286314,0.000286314
6,684.658,1.67648,1.57247,1.02659,0.48268,0.29767,0.2724,0.14224,1.60043,1.67283,1.03222,0.000268642,0.000268642,0.000268642
7,790.772,1.66291,1.51339,1.02331,0.46328,0.33543,0.28028,0.14487,1.62187,1.67558,1.02962,0.000250971,0.000250971,0.000250971
8,896.857,1.65248,1.46578,1.02218,0.48474,0.34972,0.30291,0.1616,1.58055,1.57385,1.02145,0.000233299,0.000233299,0.000233299
9,1001.09,1.64897,1.44401,1.01615,0.49928,0.34161,0.30677,0.16556,1.53785,1.56233,1.01423,0.000215628,0.000215628,0.000215628
10,1103.94,1.63234,1.42173,1.0118,0.46482,0.34384,0.31232,0.16978,1.54494,1.51469,1.01035,0.000197957,0.000197957,0.000197957
11,1211.88,1.5663,1.34203,1.02815,0.46253,0.35514,0.32137,0.17303,1.55281,1.50404,1.01492,0.000180285,0.000180285,0.000180285
12,1313.18,1.54974,1.31589,1.02135,0.53475,0.35221,0.33652,0.18601,1.50649,1.47292,1.00169,0.000162613,0.000162613,0.000162613
13,1415.02,1.53612,1.28719,1.01661,0.4843,0.36757,0.34209,0.18839,1.50731,1.44069,1.00136,0.000144942,0.000144942,0.000144942
14,1514.48,1.52446,1.26767,1.01367,0.49128,0.3781,0.34478,0.19122,1.51129,1.42621,1.00397,0.000127271,0.000127271,0.000127271
15,1613.89,1.51086,1.25111,1.0101,0.50508,0.37324,0.34774,0.19689,1.47532,1.40749,0.99351,0.000109599,0.000109599,0.000109599
16,1715.96,1.5029,1.23835,1.00337,0.50458,0.38514,0.35274,0.19936,1.48309,1.39694,0.99461,9.19275e-05,9.19275e-05,9.19275e-05
17,1817.98,1.49029,1.22037,1.00314,0.52035,0.38019,0.36241,0.20488,1.47548,1.38109,0.99163,7.4256e-05,7.4256e-05,7.4256e-05
18,1921.46,1.48464,1.20833,1.00066,0.52769,0.38025,0.36713,0.2103,1.4546,1.3705,0.98525,5.65845e-05,5.65845e-05,5.65845e-05
19,2022.48,1.47621,1.19467,0.99879,0.52556,0.38396,0.3644,0.20824,1.45778,1.3655,0.98712,3.8913e-05,3.8913e-05,3.8913e-05
20,2123.75,1.46749,1.19048,0.99641,0.5276,0.38288,0.36929,0.21156,1.45549,1.35717,0.98539,2.12415e-05,2.12415e-05,2.12415e-05
