epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.665,1.39048,1.18901,0.97869,0.63828,0.49894,0.53613,0.32362,1.3586,1.12497,1.00096,0.0668386,0.00016664,0.00016664
2,851.117,1.35232,1.07853,0.96708,0.64304,0.5271,0.5434,0.33526,1.30142,1.06196,0.97539,0.0336714,0.000332845,0.000332845
3,1280.18,1.33832,1.04575,0.96257,0.65475,0.50527,0.54489,0.33192,1.30742,1.06247,0.97736,0.000502452,0.000497204,0.000497204
4,1736.1,1.33961,1.04023,0.96536,0.63724,0.54321,0.55261,0.34149,1.29766,1.04751,0.97374,0.000493783,0.000493783,0.000493783
5,2131.38,1.33883,1.05079,0.96333,0.6574,0.52117,0.54498,0.33643,1.31142,1.05588,0.97608,0.000488988,0.000488988,0.000488988
6,2521.59,1.3408,1.04307,0.96384,0.59895,0.52446,0.54041,0.33286,1.29768,1.04311,0.9748,0.000482873,0.000482873,0.000482873
7,2911.12,1.34315,1.05922,0.96522,0.64678,0.53029,0.55433,0.34121,1.31702,1.05537,0.98416,0.000475476,0.000475476,0.000475476
