epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.175,1.38821,1.02797,0.96401,0.47923,0.40436,0.33535,0.19663,1.4227,1.8082,1.01403,0.0667312,1.66352e-06,1.66352e-06
2,306.686,1.35711,0.96156,0.95554,0.50478,0.50118,0.48928,0.29857,1.33675,1.09717,0.97661,0.0333996,3.3269e-06,3.3269e-06
3,458.035,1.34113,0.92645,0.94861,0.54817,0.51521,0.52781,0.32809,1.31897,0.9987,0.97592,6.78702e-05,4.97715e-06,4.97715e-06
4,601.908,1.34122,0.91536,0.94938,0.54799,0.51498,0.52834,0.32833,1.31769,0.9962,0.9754,4.95572e-06,4.95572e-06,4.95572e-06
5,745.824,1.33792,0.90092,0.94766,0.55234,0.5099,0.52791,0.32798,1.31784,0.99663,0.97503,4.92146e-06,4.92146e-06,4.92146e-06
6,920.271,1.3359,0.90716,0.94681,0.54878,0.51594,0.52842,0.32772,1.31816,0.99693,0.97508,4.87764e-06,4.87764e-06,4.87764e-06
7,1063.41,1.33734,0.90286,0.94665,0.54569,0.51507,0.52935,0.32845,1.31631,0.99581,0.97434,4.82444e-06,4.82444e-06,4.82444e-06
8,1228.59,1.3419,0.90059,0.94974,0.54328,0.51618,0.52813,0.3278,1.3168,0.99722,0.97441,4.76207e-06,4.76207e-06,4.76207e-06
9,1369.78,1.34097,0.90571,0.94917,0.54425,0.51403,0.52782,0.32777,1.31694,0.995,0.97432,4.69077e-06,4.69077e-06,4.69077e-06
10,1515.36,1.33656,0.90048,0.94743,0.54872,0.51514,0.53033,0.32833,1.31572,0.9947,0.97398,4.61082e-06,4.61082e-06,4.61082e-06
11,1656.25,1.34118,0.90135,0.94843,0.54257,0.52013,0.5297,0.32868,1.31689,0.99278,0.97457,4.52254e-06,4.52254e-06,4.52254e-06
12,1798.23,1.33501,0.90321,0.94892,0.54276,0.51745,0.52936,0.32886,1.3163,0.99408,0.9742,4.42628e-06,4.42628e-06,4.42628e-06
13,1940.86,1.33462,0.89728,0.94765,0.54584,0.52023,0.52908,0.32897,1.31568,0.99501,0.97391,4.32242e-06,4.32242e-06,4.32242e-06
14,2079.56,1.33667,0.90357,0.94963,0.55647,0.51146,0.5297,0.3291,1.31585,0.99328,0.97405,4.21137e-06,4.21137e-06,4.21137e-06
15,2220.91,1.33713,0.89758,0.94649,0.54371,0.52052,0.53091,0.33046,1.31521,0.99244,0.97365,4.09356e-06,4.09356e-06,4.09356e-06
16,2364.76,1.33618,0.90135,0.94815,0.54236,0.52095,0.52939,0.32894,1.3155,0.99391,0.97403,3.96946e-06,3.96946e-06,3.96946e-06
17,2508.15,1.33501,0.89554,0.94993,0.5559,0.51825,0.53082,0.33011,1.31563,0.99413,0.97386,3.83957e-06,3.83957e-06,3.83957e-06
18,2652.34,1.33594,0.89665,0.94676,0.55223,0.52048,0.53023,0.32959,1.3155,0.99303,0.97411,3.70439e-06,3.70439e-06,3.70439e-06
19,2791.54,1.33699,0.89793,0.94722,0.55865,0.51719,0.53098,0.33008,1.31498,0.99292,0.9737,3.56445e-06,3.56445e-06,3.56445e-06
20,2930.57,1.33572,0.89961,0.94912,0.54863,0.51497,0.53073,0.33022,1.31534,0.99327,0.97384,3.42031e-06,3.42031e-06,3.42031e-06
21,3067.45,1.33425,0.90193,0.94778,0.5468,0.5182,0.53102,0.33018,1.31503,0.99215,0.97375,3.27254e-06,3.27254e-06,3.27254e-06
22,3220.79,1.33539,0.89673,0.94761,0.55736,0.51749,0.53329,0.33041,1.31486,0.99144,0.97382,3.12173e-06,3.12173e-06,3.12173e-06
23,3364.12,1.33067,0.89517,0.94659,0.55975,0.51523,0.53278,0.33044,1.31421,0.99147,0.97341,2.96846e-06,2.96846e-06,2.96846e-06
24,3502.94,1.33847,0.88916,0.94802,0.56211,0.51625,0.53168,0.33056,1.31511,0.99264,0.97377,2.81334e-06,2.81334e-06,2.81334e-06
25,3642.88,1.33733,0.89743,0.94741,0.55536,0.51819,0.53362,0.33102,1.3147,0.99079,0.97359,2.65698e-06,2.65698e-06,2.65698e-06
26,3787.12,1.3367,0.8914,0.94731,0.56112,0.51574,0.5321,0.33108,1.31405,0.98945,0.97353,2.5e-06,2.5e-06,2.5e-06
