epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.407,1.48757,1.23728,0.99924,0.4632,0.22689,0.17069,0.08648,1.68374,4.1781,1.1603,0.0767107,0.00998113,0.00998113
2,305.444,1.59631,1.48691,1.03847,0.48017,0.07823,0.05434,0.01963,2.31018,7.97192,1.33691,0.0531875,0.0197913,0.0197913
3,434.569,1.62521,1.53671,1.04994,0.50103,0.26476,0.22634,0.1203,1.53575,1.88439,1.10082,0.0294744,0.0294115,0.0294115
4,561.052,1.57397,1.44705,1.03397,0.49145,0.31,0.27096,0.14746,1.56798,1.91716,1.08222,0.029145,0.029145,0.029145
5,687.592,1.54282,1.35985,1.02155,0.56637,0.29873,0.29068,0.15581,1.57836,1.88076,1.09261,0.02886,0.02886,0.02886
6,819.259,1.52258,1.31571,1.01392,0.54949,0.32079,0.273,0.15332,1.47697,2.10239,1.04225,0.028575,0.028575,0.028575
7,947.155,1.49548,1.25039,1.00509,0.48711,0.3514,0.30632,0.17299,1.47783,1.73179,1.05789,0.02829,0.02829,0.02829
8,1078.14,1.48821,1.22057,1.00497,0.5129,0.42549,0.39435,0.22394,1.40463,1.42856,1.02185,0.028005,0.028005,0.028005
9,1204.48,1.4722,1.18669,0.99863,0.52042,0.37132,0.36062,0.20383,1.41089,1.62873,1.0368,0.02772,0.02772,0.02772
10,1333,1.46514,1.16564,0.99563,0.49182,0.40837,0.38651,0.19645,1.60966,1.4793,1.08439,0.027435,0.027435,0.027435
11,1459.3,1.46274,1.16701,0.99432,0.57267,0.45261,0.43108,0.25089,1.42314,1.3024,1.03312,0.02715,0.02715,0.02715
12,1585.22,1.44792,1.13825,0.99157,0.51312,0.4549,0.43846,0.2549,1.41592,1.25996,1.02444,0.026865,0.026865,0.026865
13,1711.64,1.44561,1.12397,0.98949,0.57116,0.40826,0.40648,0.2314,1.44872,1.38792,1.04471,0.02658,0.02658,0.02658
14,1837.78,1.43715,1.115,0.98959,0.57077,0.45654,0.43452,0.256,1.37499,1.30434,1.02118,0.026295,0.026295,0.026295
15,1964.77,1.43256,1.09363,0.98297,0.57801,0.46935,0.45806,0.26886,1.36443,1.22012,1.01279,0.02601,0.02601,0.02601
16,2091.87,1.42549,1.08028,0.98366,0.56859,0.47367,0.47574,0.27664,1.38993,1.17253,1.02397,0.025725,0.025725,0.025725
17,2218.81,1.42254,1.07547,0.98493,0.61007,0.49887,0.49971,0.29612,1.36701,1.14616,1.01622,0.02544,0.02544,0.02544
18,2347.52,1.4168,1.05729,0.97901,0.62561,0.45905,0.46986,0.27902,1.3507,1.19599,1.00933,0.025155,0.025155,0.025155
19,2474.67,1.41526,1.0578,0.97875,0.60888,0.49144,0.5031,0.29798,1.35735,1.12748,1.00888,0.02487,0.02487,0.02487
20,2601.28,1.41273,1.05254,0.98042,0.6154,0.4882,0.51073,0.30411,1.35186,1.12638,1.01406,0.024585,0.024585,0.024585
21,2729.57,1.40432,1.04303,0.97765,0.59821,0.47955,0.5035,0.29766,1.37377,1.13206,1.02057,0.0243,0.0243,0.0243
22,2864.08,1.39986,1.02507,0.97577,0.61493,0.4937,0.50595,0.30274,1.3579,1.12774,1.01682,0.024015,0.024015,0.024015
23,2991.21,1.39615,1.01743,0.97398,0.62146,0.49168,0.48482,0.28971,1.34665,1.16283,1.0042,0.02373,0.02373,0.02373
24,3118.19,1.39951,1.00566,0.97413,0.59644,0.49573,0.50053,0.29674,1.35729,1.14743,1.01794,0.023445,0.023445,0.023445
25,3244.65,1.39817,1.01433,0.97416,0.56847,0.50365,0.48518,0.28355,1.38223,1.20218,1.02749,0.02316,0.02316,0.02316
26,3371.74,1.39039,0.99594,0.97191,0.5911,0.50212,0.50059,0.29316,1.3498,1.15173,1.01319,0.022875,0.022875,0.022875
27,3498.27,1.38843,0.98577,0.97039,0.56114,0.45596,0.44896,0.2625,1.35071,1.30211,1.01706,0.02259,0.02259,0.02259
28,3624.28,1.38249,0.98518,0.9704,0.56453,0.47531,0.46483,0.27499,1.35886,1.24683,1.02279,0.022305,0.022305,0.022305
29,3750.48,1.3799,0.9892,0.96751,0.57402,0.49365,0.49582,0.29384,1.36899,1.17438,1.02387,0.02202,0.02202,0.02202
30,3876.46,1.3777,0.97647,0.96707,0.57867,0.48156,0.47371,0.27735,1.36737,1.18727,1.02005,0.021735,0.021735,0.021735
31,4003.45,1.3755,0.96656,0.96835,0.54648,0.49177,0.49199,0.29056,1.35708,1.19592,1.02016,0.02145,0.02145,0.02145
32,4135.33,1.3814,0.9707,0.96826,0.60639,0.49841,0.50015,0.29366,1.36255,1.15967,1.02523,0.021165,0.021165,0.021165
33,4269.3,1.37037,0.96845,0.96735,0.51446,0.49002,0.48261,0.28463,1.36464,1.17624,1.02446,0.02088,0.02088,0.02088
34,4395.63,1.37166,0.96262,0.96659,0.57819,0.50592,0.49178,0.29295,1.37573,1.1762,1.02835,0.020595,0.020595,0.020595
35,4522.07,1.37275,0.9573,0.96817,0.54533,0.51109,0.49599,0.29463,1.35173,1.1557,1.01879,0.02031,0.02031,0.02031
