epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.36,1.363,0.94218,0.95792,0.63584,0.48805,0.49094,0.29946,1.3249,1.12568,0.98398,0.0670623,0.000332704,0.000332704
2,272.173,1.35209,0.92705,0.95554,0.6278,0.4855,0.51175,0.30639,1.34926,1.08872,0.99141,0.0340616,0.000665413,0.000665413
3,395.87,1.35788,0.94003,0.95473,0.6301,0.51735,0.52523,0.31664,1.33044,1.10457,0.98563,0.00105852,0.000995628,0.000995628
4,517.679,1.36237,0.93656,0.95606,0.59879,0.53317,0.53446,0.32528,1.32871,1.04067,0.97954,0.000991586,0.000991586,0.000991586
5,640.113,1.35949,0.92801,0.95417,0.6445,0.51592,0.53534,0.32303,1.32094,1.07694,0.97979,0.000985077,0.000985077,0.000985077
6,768.455,1.35372,0.92708,0.95233,0.57284,0.53028,0.53064,0.32389,1.3139,1.03509,0.97492,0.000976752,0.000976752,0.000976752
7,890.386,1.35252,0.91911,0.95157,0.5565,0.53892,0.54167,0.33215,1.3223,1.02533,0.97804,0.000966644,0.000966644,0.000966644
8,1019.74,1.35458,0.91372,0.95449,0.5513,0.54335,0.54079,0.32772,1.3144,1.02808,0.97885,0.000954793,0.000954793,0.000954793
9,1141.18,1.35358,0.92159,0.95369,0.62662,0.5409,0.53939,0.33247,1.30738,1.00574,0.9757,0.000941246,0.000941246,0.000941246
10,1265.42,1.34595,0.90649,0.95124,0.65512,0.51644,0.52676,0.32586,1.30993,1.04665,0.97651,0.000926056,0.000926056,0.000926056
11,1391.55,1.34848,0.90905,0.95161,0.69925,0.53578,0.55423,0.34014,1.30499,1.00153,0.97281,0.000909283,0.000909283,0.000909283
12,1517.21,1.34486,0.90962,0.95278,0.59065,0.51376,0.53517,0.32937,1.3157,1.02248,0.97479,0.000890994,0.000890994,0.000890994
13,1638.76,1.33986,0.89854,0.95106,0.63551,0.56504,0.55411,0.34217,1.29968,0.99124,0.97288,0.00087126,0.00087126,0.00087126
14,1760.78,1.34201,0.90316,0.95236,0.55207,0.54339,0.54643,0.33705,1.3072,1.00564,0.97119,0.00085016,0.00085016,0.00085016
15,1882.99,1.33811,0.89216,0.94815,0.61273,0.54206,0.55124,0.34026,1.29702,0.99949,0.97328,0.000827776,0.000827776,0.000827776
16,2008.74,1.33824,0.88949,0.9502,0.69262,0.53939,0.56245,0.34137,1.30942,0.98284,0.97603,0.000804198,0.000804198,0.000804198
17,2131.98,1.33583,0.88369,0.95092,0.65602,0.52673,0.54768,0.33801,1.31261,0.99273,0.9763,0.000779518,0.000779518,0.000779518
18,2255.19,1.33168,0.87945,0.94722,0.61239,0.55109,0.55144,0.34388,1.29783,0.98376,0.96971,0.000753833,0.000753833,0.000753833
19,2377.46,1.33388,0.88125,0.94753,0.626,0.55751,0.55379,0.34446,1.2924,0.95894,0.96942,0.000727245,0.000727245,0.000727245
20,2499.19,1.32966,0.87519,0.94844,0.64151,0.56478,0.56568,0.3522,1.29408,0.94763,0.97015,0.000699859,0.000699859,0.000699859
21,2620.73,1.32579,0.87837,0.94759,0.59571,0.53967,0.56343,0.35196,1.28752,0.94165,0.97078,0.000671783,0.000671783,0.000671783
22,2756.72,1.32596,0.86799,0.94663,0.6128,0.57691,0.57514,0.35875,1.29084,0.94652,0.96932,0.000643128,0.000643128,0.000643128
23,2910.23,1.32017,0.86404,0.94513,0.59373,0.55562,0.55816,0.35075,1.28873,0.95087,0.9686,0.000614006,0.000614006,0.000614006
24,3032.01,1.32448,0.85296,0.94531,0.61006,0.57601,0.57074,0.35199,1.29662,0.93827,0.97205,0.000584533,0.000584533,0.000584533
25,3153.29,1.32031,0.85572,0.94419,0.6559,0.56149,0.5774,0.35668,1.28973,0.94123,0.96784,0.000554825,0.000554825,0.000554825
26,3275.28,1.31951,0.84704,0.94321,0.62711,0.57641,0.58246,0.36259,1.28732,0.928,0.96611,0.000525,0.000525,0.000525
27,3398.26,1.31623,0.84405,0.94243,0.5705,0.57322,0.58188,0.36131,1.28247,0.92268,0.96379,0.000495175,0.000495175,0.000495175
28,3521.28,1.31212,0.84181,0.94283,0.61577,0.57692,0.58352,0.36476,1.28482,0.92095,0.96821,0.000465467,0.000465467,0.000465467
29,3643.17,1.30497,0.84136,0.94013,0.66118,0.57018,0.5857,0.3644,1.28633,0.91943,0.9657,0.000435994,0.000435994,0.000435994
30,3765.86,1.30546,0.83794,0.9399,0.62071,0.56407,0.57895,0.36021,1.28567,0.92919,0.96501,0.000406872,0.000406872,0.000406872
31,3892.89,1.30231,0.82887,0.94055,0.65667,0.56711,0.58984,0.36778,1.28134,0.91796,0.96319,0.000378217,0.000378217,0.000378217
32,4022.91,1.30927,0.83037,0.93998,0.58145,0.57256,0.5822,0.36116,1.27962,0.91166,0.96246,0.000350141,0.000350141,0.000350141
33,4207.41,1.29532,0.82546,0.93943,0.64114,0.54074,0.57855,0.36247,1.28393,0.92158,0.96444,0.000322755,0.000322755,0.000322755
34,4332.75,1.30129,0.82115,0.93887,0.58461,0.57639,0.58521,0.36599,1.27763,0.90499,0.96068,0.000296167,0.000296167,0.000296167
35,4454.69,1.29919,0.81932,0.94003,0.65696,0.55241,0.58934,0.3685,1.27867,0.90866,0.96199,0.000270482,0.000270482,0.000270482
36,4577.14,1.29502,0.81259,0.93892,0.7086,0.55036,0.58978,0.36951,1.27795,0.91487,0.96381,0.000245802,0.000245802,0.000245802
37,4703.13,1.29456,0.81007,0.93672,0.64768,0.53175,0.58476,0.36836,1.27838,0.90612,0.96308,0.000222224,0.000222224,0.000222224
38,4827.64,1.2904,0.80783,0.93666,0.57053,0.57916,0.58841,0.36865,1.28086,0.91184,0.96482,0.00019984,0.00019984,0.00019984
39,5008.36,1.28895,0.80397,0.93571,0.63466,0.55688,0.58518,0.36697,1.27882,0.90706,0.96264,0.00017874,0.00017874,0.00017874
